Name,Equities,pct,id,Ranking,Sector1,Sector2,Indice
Dodge & Cox,33268758,2.66,BNP-PARIBAS,4,Financials,Banks - NEC, CAC40
"The Vanguard Group, Inc.",32887482,2.63,BNP-PARIBAS,5,Financials,Banks - NEC, CAC40
Lyxor International Asset Management SAS,31413172,2.51,BNP-PARIBAS,6,Financials,Banks - NEC, CAC40
Norges Bank Investment Management,26892905,2.15,BNP-PARIBAS,7,Financials,Banks - NEC, CAC40
Capital Research & Management Co. (Global Investors),26107699,2.09,BNP-PARIBAS,8,Financials,Banks - NEC, CAC40
Capital Research & Management Co. (World Investors),20990825,1.68,BNP-PARIBAS,9,Financials,Banks - NEC, CAC40
BlackRock Fund Advisors,16326702,1.31,BNP-PARIBAS,10,Financials,Banks - NEC, CAC40
Government of France,85835477,11,AIRBUS-SE,1,Industrials,Commercial Aircraft Manufacturing, CAC40
Gesellschaft zur Beteiligungsverwaltung GZBV mbH & Co.KG,85709822,10.9,AIRBUS-SE,2,Industrials,Commercial Aircraft Manufacturing, CAC40
Capital Research & Management Co. (World Investors),50930519,6.5,AIRBUS-SE,3,Industrials,Commercial Aircraft Manufacturing, CAC40
Capital Research & Management Co. (Global Investors),34223674,4.37,AIRBUS-SE,4,Industrials,Commercial Aircraft Manufacturing, CAC40
Government of Spain,32330381,4.13,AIRBUS-SE,5,Industrials,Commercial Aircraft Manufacturing, CAC40
"The Vanguard Group, Inc.",16848284,2.15,AIRBUS-SE,6,Industrials,Commercial Aircraft Manufacturing, CAC40
PRIMECAP Management Co.,16513798,2.11,AIRBUS-SE,7,Industrials,Commercial Aircraft Manufacturing, CAC40
Amundi Asset Management SA (Investment Management),9777615,1.25,AIRBUS-SE,8,Industrials,Commercial Aircraft Manufacturing, CAC40
"Invesco Advisers, Inc.",9363820,1.2,AIRBUS-SE,9,Industrials,Commercial Aircraft Manufacturing, CAC40
Lyxor International Asset Management SAS,7699145,0.98,AIRBUS-SE,10,Industrials,Commercial Aircraft Manufacturing, CAC40
Del Vecchio Family,140836426,32.2,ESSILORLUXOTTICA,1,Consumer Cyclical,Fashion Eyewear, CAC40
Capital Research & Management Co. (World Investors),10327508,2.36,ESSILORLUXOTTICA,2,Consumer Cyclical,Fashion Eyewear, CAC40
"The Vanguard Group, Inc.",9006963,2.06,ESSILORLUXOTTICA,3,Consumer Cyclical,Fashion Eyewear, CAC40
Norges Bank Investment Management,5766931,1.32,ESSILORLUXOTTICA,4,Consumer Cyclical,Fashion Eyewear, CAC40
Seeyond SA,5754999,1.32,ESSILORLUXOTTICA,5,Consumer Cyclical,Fashion Eyewear, CAC40
Massachusetts Financial Services Co.,4967147,1.14,ESSILORLUXOTTICA,6,Consumer Cyclical,Fashion Eyewear, CAC40
Capital Research & Management Co. (Global Investors),4556701,1.04,ESSILORLUXOTTICA,7,Consumer Cyclical,Fashion Eyewear, CAC40
FCPE Groupe Essilor 5 et 7 ans,4462313,1.02,ESSILORLUXOTTICA,8,Consumer Cyclical,Fashion Eyewear, CAC40
Amundi Asset Management SA (Investment Management),3703428,0.85,ESSILORLUXOTTICA,9,Consumer Cyclical,Fashion Eyewear, CAC40
WCM Investment Management LLC,3273180,0.75,ESSILORLUXOTTICA,10,Consumer Cyclical,Fashion Eyewear, CAC40
AXA France Assurance SAS,349441956,14.5,AXA,1,Financials,Life & Health Insurance - NEC, CAC40
AXA SA Employee Stock Ownership Plan,103450594,4.28,AXA,2,Financials,Life & Health Insurance - NEC, CAC40
Norges Bank Investment Management,85867359,3.55,AXA,3,Financials,Life & Health Insurance - NEC, CAC40
"The Vanguard Group, Inc.",58235192,2.41,AXA,4,Financials,Life & Health Insurance - NEC, CAC40
